Date,Service,Cost (USD)
2025-01-17,AWS Backup,13.1152145231
2025-01-17,AWS CloudTrail,7.27455575
2025-01-17,AWS Cost Explorer,2.2314726709
2025-01-17,AWS Global Accelerator,1.9927347419
2025-01-17,AWS Glue,0.0268012976
2025-01-17,AWS Key Management Service,0.7199782536
2025-01-17,AWS Lambda,0.9238830916
2025-01-17,AWS Secrets Manager,1.0017270024
2025-01-17,AWS Step Functions,7.5289667001
2025-01-17,AWS Systems Manager,70.744884
2025-01-17,AWS WAF,0.3212903184
2025-01-17,Amazon API Gateway,44.1194447849
2025-01-17,Amazon Athena,0.36493855
2025-01-17,Amazon Bedrock,0.0000039508
2025-01-17,Amazon CloudFront,0.0131923722
2025-01-17,Amazon DevOps Guru,0
2025-01-17,Amazon DynamoDB,0.2430651782
2025-01-17,Amazon EC2 Container Registry (ECR),7.0353172919
2025-01-17,EC2 - Other,4890.0482741941
2025-01-17,Amazon Elastic Compute Cloud - Compute,2912.1486304273
2025-01-17,Amazon Elastic Container Registry Public,0
2025-01-17,Amazon Elastic Container Service,1.1971613696
2025-01-17,Amazon Elastic Container Service for Kubernetes,75.0407463324
2025-01-17,Amazon Elastic File System,124.1788810591
2025-01-17,Amazon Elastic Load Balancing,297.9994271451
2025-01-17,Amazon Kinesis Firehose,0.0000135187
2025-01-17,Amazon Polly,0.62559424
2025-01-17,Amazon QuickSight,2.1498761808
2025-01-17,Amazon Relational Database Service,21.6845543871
2025-01-17,Amazon Route 53,0.02408162
2025-01-17,Amazon SageMaker,0.996
2025-01-17,Amazon Simple Email Service,0.1948787355
2025-01-17,Amazon Simple Notification Service,0.0000002119
2025-01-17,Amazon Simple Queue Service,0.19755494
2025-01-17,Amazon Simple Storage Service,481.9340516886
2025-01-17,Amazon Virtual Private Cloud,110.5360356813
2025-01-17,AmazonCloudWatch,8.6932990886
2025-01-17,CloudWatch Events,0.1977255794
2025-01-17,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-17,Savings Plans for AWS Compute usage,996
2025-01-17,Tax,0
2025-01-18,AWS Backup,13.4463540841
2025-01-18,AWS CloudTrail,7.27256624
2025-01-18,AWS Cost Explorer,2.2148046645
2025-01-18,AWS Global Accelerator,1.9924006589
2025-01-18,AWS Glue,0.0155414512
2025-01-18,AWS Key Management Service,0.7130211936
2025-01-18,AWS Lambda,0.8629096262
2025-01-18,AWS Secrets Manager,0.9974649524
2025-01-18,AWS Step Functions,7.5391914078
2025-01-18,AWS Systems Manager,70.7506525
2025-01-18,AWS WAF,0.3212903184
2025-01-18,Amazon API Gateway,44.320496554
2025-01-18,Amazon Athena,0.36620015
2025-01-18,Amazon CloudFront,0.0129746867
2025-01-18,Amazon DevOps Guru,0
2025-01-18,Amazon DynamoDB,0.2386218466
2025-01-18,Amazon EC2 Container Registry (ECR),6.8704287312
2025-01-18,EC2 - Other,4778.6996498138
2025-01-18,Amazon Elastic Compute Cloud - Compute,2936.0767285655
2025-01-18,Amazon Elastic Container Registry Public,0
2025-01-18,Amazon Elastic Container Service,0.0462798675
2025-01-18,Amazon Elastic Container Service for Kubernetes,75.017714592
2025-01-18,Amazon Elastic File System,125.9977289101
2025-01-18,Amazon Elastic Load Balancing,277.55768121
2025-01-18,Amazon Kinesis Firehose,0.0000134955
2025-01-18,Amazon Location Service,0.000041085
2025-01-18,Amazon Polly,0.83811408
2025-01-18,Amazon QuickSight,2.1498761808
2025-01-18,Amazon Relational Database Service,21.7002237472
2025-01-18,Amazon Route 53,0.019805792
2025-01-18,Amazon SageMaker,0.996
2025-01-18,Amazon Simple Email Service,0.084635325
2025-01-18,Amazon Simple Notification Service,0.0000007132
2025-01-18,Amazon Simple Queue Service,0.1873515342
2025-01-18,Amazon Simple Storage Service,462.2236158024
2025-01-18,Amazon Virtual Private Cloud,111.0543097515
2025-01-18,AmazonCloudWatch,8.4063287662
2025-01-18,CloudWatch Events,0.1969374901
2025-01-18,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-18,Savings Plans for AWS Compute usage,996
2025-01-18,Tax,0
2025-01-19,AWS Backup,13.7219411563
2025-01-19,AWS CloudTrail,7.23951315
2025-01-19,AWS Cost Explorer,2.2292755806
2025-01-19,AWS Global Accelerator,1.9924044889
2025-01-19,AWS Glue,0.0217903884
2025-01-19,AWS Key Management Service,0.7105934436
2025-01-19,AWS Lambda,0.841821889
2025-01-19,AWS Secrets Manager,0.9974815524
2025-01-19,AWS Step Functions,7.493757129
2025-01-19,AWS Systems Manager,70.744884
2025-01-19,AWS WAF,0.3212903184
2025-01-19,Amazon API Gateway,44.2555749549
2025-01-19,Amazon Athena,0.3669015
2025-01-19,Amazon CloudFront,0.0129474379
2025-01-19,Amazon DevOps Guru,0
2025-01-19,Amazon DynamoDB,0.2359120697
2025-01-19,Amazon EC2 Container Registry (ECR),6.8704287312
2025-01-19,EC2 - Other,4618.8470784668
2025-01-19,Amazon Elastic Compute Cloud - Compute,2915.0443150626
2025-01-19,Amazon Elastic Container Registry Public,0
2025-01-19,Amazon Elastic Container Service,0.0497770107
2025-01-19,Amazon Elastic Container Service for Kubernetes,75.0253878884
2025-01-19,Amazon Elastic File System,127.8007247799
2025-01-19,Amazon Elastic Load Balancing,269.0736296142
2025-01-19,Amazon Kinesis Firehose,0.0000134494
2025-01-19,Amazon Location Service,0.0000913
2025-01-19,Amazon Polly,0.8926816
2025-01-19,Amazon QuickSight,2.1498761808
2025-01-19,Amazon Relational Database Service,21.7110475463
2025-01-19,Amazon Route 53,0.019758316
2025-01-19,Amazon SageMaker,0.996
2025-01-19,Amazon Simple Email Service,0.0826396855
2025-01-19,Amazon Simple Notification Service,0.0000002119
2025-01-19,Amazon Simple Queue Service,0.1819852522
2025-01-19,Amazon Simple Storage Service,461.393765188
2025-01-19,Amazon Virtual Private Cloud,110.9875040487
2025-01-19,AmazonCloudWatch,8.3129503086
2025-01-19,CloudWatch Events,0.1954343576
2025-01-19,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-19,Savings Plans for AWS Compute usage,996
2025-01-20,AWS Backup,14.1832510823
2025-01-20,AWS CloudTrail,7.3004559
2025-01-20,AWS Cost Explorer,2.2816317129
2025-01-20,AWS Global Accelerator,1.9924105506
2025-01-20,AWS Glue,0.0184020628
2025-01-20,AWS Key Management Service,0.7183746936
2025-01-20,AWS Lambda,0.9014628506
2025-01-20,AWS Secrets Manager,0.9992038024
2025-01-20,AWS Step Functions,7.5123229566
2025-01-20,AWS Systems Manager,70.744884
2025-01-20,AWS WAF,0.3212903184
2025-01-20,Amazon API Gateway,43.7653338139
2025-01-20,Amazon Athena,0.36817555
2025-01-20,Amazon Bedrock,0.0000008466
2025-01-20,Amazon CloudFront,0.0133028675
2025-01-20,Amazon Connect,0
2025-01-20,Amazon DevOps Guru,0
2025-01-20,Amazon DynamoDB,0.2417616361
2025-01-20,Amazon EC2 Container Registry (ECR),6.9950710719
2025-01-20,EC2 - Other,4936.5942370196
2025-01-20,Amazon Elastic Compute Cloud - Compute,2765.799727793
2025-01-20,Amazon Elastic Container Registry Public,0
2025-01-20,Amazon Elastic Container Service,1.8990343316
2025-01-20,Amazon Elastic Container Service for Kubernetes,75.0437977967
2025-01-20,Amazon Elastic File System,130.234483785
2025-01-20,Amazon Elastic Load Balancing,299.7737606358
2025-01-20,Amazon Kinesis Firehose,0.0000071372
2025-01-20,Amazon Location Service,0.000074285
2025-01-20,Amazon Polly,0.839628
2025-01-20,Amazon QuickSight,2.1498761808
2025-01-20,Amazon Relational Database Service,21.7201747996
2025-01-20,Amazon Route 53,0.022538152
2025-01-20,Amazon SageMaker,0.996
2025-01-20,Amazon Simple Email Service,0.0643497056
2025-01-20,Amazon Simple Notification Service,0.0000002119
2025-01-20,Amazon Simple Queue Service,0.1904911752
2025-01-20,Amazon Simple Storage Service,486.2350749631
2025-01-20,Amazon Virtual Private Cloud,110.3827546602
2025-01-20,AmazonCloudWatch,150.2520430963
2025-01-20,CloudWatch Events,0.1985110254
2025-01-20,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-20,Savings Plans for AWS Compute usage,996
2025-01-21,AWS Backup,14.6229167661
2025-01-21,AWS CloudFormation,0
2025-01-21,AWS CloudTrail,6.66293622
2025-01-21,AWS Cost Explorer,2.2825091032
2025-01-21,AWS Global Accelerator,1.9924051004
2025-01-21,AWS Glue,0.0258276744
2025-01-21,AWS Key Management Service,0.7215096036
2025-01-21,AWS Lambda,0.870920044
2025-01-21,AWS Secrets Manager,0.9994962658
2025-01-21,AWS Step Functions,6.9748082618
2025-01-21,AWS Systems Manager,70.744884
2025-01-21,AWS WAF,0.3212903184
2025-01-21,Amazon API Gateway,42.8722033266
2025-01-21,Amazon Athena,0.369516
2025-01-21,Amazon Bedrock,0.01890242
2025-01-21,Amazon CloudFront,0.0134940398
2025-01-21,Amazon DevOps Guru,0
2025-01-21,Amazon DynamoDB,0.2354795468
2025-01-21,Amazon EC2 Container Registry (ECR),7.0564863659
2025-01-21,EC2 - Other,4980.0798954212
2025-01-21,Amazon Elastic Compute Cloud - Compute,2516.0490055621
2025-01-21,Amazon Elastic Container Registry Public,0
2025-01-21,Amazon Elastic Container Service,2.0867034824
2025-01-21,Amazon Elastic Container Service for Kubernetes,75.0561115754
2025-01-21,Amazon Elastic File System,133.0786854492
2025-01-21,Amazon Elastic Load Balancing,300.0828095692
2025-01-21,Amazon Location Service,0.0000083
2025-01-21,Amazon Polly,0.80228464
2025-01-21,Amazon QuickSight,2.1498761808
2025-01-21,Amazon Relational Database Service,21.7247686426
2025-01-21,Amazon Route 53,0.022082316
2025-01-21,Amazon SageMaker,0.996
2025-01-21,Amazon Simple Email Service,0.0310942486
2025-01-21,Amazon Simple Notification Service,0.0000039574
2025-01-21,Amazon Simple Queue Service,0.1973406976
2025-01-21,Amazon Simple Storage Service,486.3278757656
2025-01-21,Amazon Virtual Private Cloud,110.3693280187
2025-01-21,AmazonCloudWatch,309.337344646
2025-01-21,CloudWatch Events,0.1852329346
2025-01-21,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-21,Savings Plans for AWS Compute usage,996
2025-01-21,Tax,0
2025-01-22,AWS Backup,15.0039088338
2025-01-22,AWS CloudTrail,7.0925243
2025-01-22,AWS Cost Explorer,2.4390508516
2025-01-22,AWS Global Accelerator,1.9925536387
2025-01-22,AWS Glue,0.0170223372
2025-01-22,AWS Key Management Service,0.7149133794
2025-01-22,AWS Lambda,0.9039884874
2025-01-22,AWS Secrets Manager,0.9988303024
2025-01-22,AWS Step Functions,7.5361721849
2025-01-22,AWS Systems Manager,70.7968005
2025-01-22,AWS WAF,0.3212903184
2025-01-22,Amazon API Gateway,42.918516512
2025-01-22,Amazon Athena,0.3701219
2025-01-22,Amazon Bedrock,0.114901303
2025-01-22,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0122016443
2025-01-22,Amazon CloudFront,0.013262528
2025-01-22,Amazon DevOps Guru,0
2025-01-22,Amazon DynamoDB,0.2417407917
2025-01-22,Amazon EC2 Container Registry (ECR),7.1759755755
2025-01-22,EC2 - Other,4963.2787742929
2025-01-22,Amazon Elastic Compute Cloud - Compute,2542.3062881734
2025-01-22,Amazon Elastic Container Registry Public,0
2025-01-22,Amazon Elastic Container Service,1.3693415643
2025-01-22,Amazon Elastic Container Service for Kubernetes,75.0585292078
2025-01-22,Amazon Elastic File System,135.8621707804
2025-01-22,Amazon Elastic Load Balancing,303.5604650827
2025-01-22,Amazon Polly,0.88775472
2025-01-22,Amazon QuickSight,2.1498761808
2025-01-22,Amazon Relational Database Service,21.7296498294
2025-01-22,Amazon Route 53,0.022020232
2025-01-22,Amazon SageMaker,0.996
2025-01-22,Amazon Simple Email Service,0.0156305566
2025-01-22,Amazon Simple Notification Service,0.0000012427
2025-01-22,Amazon Simple Queue Service,0.196269021
2025-01-22,Amazon Simple Storage Service,515.9407551128
2025-01-22,Amazon Virtual Private Cloud,109.2904740283
2025-01-22,AmazonCloudWatch,298.6334112538
2025-01-22,CloudWatch Events,0.2002216891
2025-01-22,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-22,Savings Plans for AWS Compute usage,996
2025-01-23,AWS Backup,5.0104397297
2025-01-23,AWS CloudTrail,7.04378089
2025-01-23,AWS Cost Explorer,2.2690572129
2025-01-23,AWS Global Accelerator,1.992545926
2025-01-23,AWS Glue,0.0183005372
2025-01-23,AWS Key Management Service,0.7192088436
2025-01-23,AWS Lambda,0.8944085613
2025-01-23,AWS Secrets Manager,1.0017062524
2025-01-23,AWS Step Functions,7.5206996452
2025-01-23,AWS Systems Manager,70.8775595
2025-01-23,AWS WAF,0.3212903184
2025-01-23,Amazon API Gateway,42.9521069014
2025-01-23,Amazon Athena,0.37116355
2025-01-23,Amazon Bedrock,0.1004504678
2025-01-23,Amazon Chime Voice Connector a service sold by AMCS LLC,0.0286134736
2025-01-23,Amazon CloudFront,0.0133194272
2025-01-23,Amazon DevOps Guru,0
2025-01-23,Amazon DynamoDB,0.2407731218
2025-01-23,Amazon EC2 Container Registry (ECR),7.121994925
2025-01-23,EC2 - Other,4447.0474290089
2025-01-23,Amazon Elastic Compute Cloud - Compute,2578.2956079221
2025-01-23,Amazon Elastic Container Registry Public,0
2025-01-23,Amazon Elastic Container Service,1.2948285062
2025-01-23,Amazon Elastic Container Service for Kubernetes,75.015331037
2025-01-23,Amazon Elastic File System,138.2928504861
2025-01-23,Amazon Elastic Load Balancing,303.7530743861
2025-01-23,Amazon Location Service,0.000041085
2025-01-23,Amazon Polly,0.8726288
2025-01-23,Amazon QuickSight,2.1498761808
2025-01-23,Amazon Relational Database Service,21.7319025839
2025-01-23,Amazon Route 53,0.022825996
2025-01-23,Amazon SageMaker,0.996
2025-01-23,Amazon Simple Email Service,0.0062357988
2025-01-23,Amazon Simple Notification Service,0.0000002045
2025-01-23,Amazon Simple Queue Service,0.1927988408
2025-01-23,Amazon Simple Storage Service,556.810389629
2025-01-23,Amazon Virtual Private Cloud,108.522533631
2025-01-23,AmazonCloudWatch,311.4173628236
2025-01-23,CloudWatch Events,0.2002635147
2025-01-23,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-23,Savings Plans for AWS Compute usage,996
2025-01-23,Tax,0
